Average,BestPic_Gross,Best_Picture,DirectorName,No_Of_Movies,Total_Gross,_id
$12.6,$12.6,Winter's Tale,Akiva Goldsman,1,$12.6,5cbf57e7f1b3f84eb09ba530
$64.0,$69.2,Game Night,Jonathan M. Goldstein,2,$128.1,5cbf57e7f1b3f84eb09ba531
$119k,$222k,World's Greatest Dad,Bobcat Goldthwait,4,$475k,5cbf57e7f1b3f84eb09ba532
$13.5,$98.8,The Green Hornet,Michel Gondry,12,$162.4,5cbf57e7f1b3f84eb09ba533
$47.8,$183.6,The Revenant,Alejandro González Iñárritu,6,$287.1,5cbf57e7f1b3f84eb09ba534
$10.8,$21.4,The Darkest Hour,Chris Gorak,2,$21.5,5cbf57e7f1b3f84eb09ba535
$67.0,$118.6,Blades of Glory,Josh Gordon,3,$201.1,5cbf57e7f1b3f84eb09ba536
$568k,$1.5,A Midnight Clear,Keith Gordon,5,$2.8,5cbf57e7f1b3f84eb09ba537
$86.2,$134.5,Identity Thief,Seth Gordon,5,$430.9,5cbf57e7f1b3f84eb09ba538
$24.5,$24.5,Don Jon,Joseph Gordon-Levitt,1,$24.5,5cbf57e7f1b3f84eb09ba539
$26.1,$26.1,That Awkward Moment,Tom Gormican,1,$26.1,5cbf57e7f1b3f84eb09ba53a
$45.4k,$45.4k,Lost River,Ryan Gosling,1,$45.4k,5cbf57e7f1b3f84eb09ba53b
$82.1,$153.3,Scooby-Doo,Raja Gosnell,10,$820.8,5cbf57e7f1b3f84eb09ba53c
$38.6,$52.4,Blade: Trinity,David S. Goyer,3,$115.7,5cbf57e7f1b3f84eb09ba53d
$12.6,$30.9,Joyful Noise,Todd Graff,3,$37.8,5cbf57e7f1b3f84eb09ba53e
$4.2,$6.5,Winter's Bone,Debra Granik,3,$12.6,5cbf57e7f1b3f84eb09ba53f
$15.5,$15.5,Catch and Release,Susannah Grant,1,$15.5,5cbf57e7f1b3f84eb09ba540
$84.2,$226.0,Fate of the Furious,F. Gary Gray,9,$758.0,5cbf57e7f1b3f84eb09ba541
$7.4,$28.6,We Own the Night,James Gray,6,$44.3,5cbf57e7f1b3f84eb09ba542
$8.0,$20.4,Glimmer Man,John Gray,3,$24.1,5cbf57e7f1b3f84eb09ba543
$60.5,$82.1,Teenage Mutant Ninja Turtles 2,Dave Green,2,$121.0,5cbf57e7f1b3f84eb09ba544
$24.0,$159.3,Halloween (2018),David Gordon Green,13,$312.0,5cbf57e7f1b3f84eb09ba545
$48.4,$82.4,Let's Be Cops,Luke Greenfield,4,$193.8,5cbf57e7f1b3f84eb09ba546
$92.6,$227.5,The Bourne Ultimatum,Paul Greengrass,8,$740.6,5cbf57e7f1b3f84eb09ba547
$2.9,$2.9,Choke,Clark Gregg,1,$2.9,5cbf57e7f1b3f84eb09ba548
